id	type	sourceRef	answer	Lchapter	confidence	依據
senior-bigdata-114-2-q19	past	114年第二梯次 第19題	C	L222	中	邊緣＋流式處理＋資料湖兼顧即時、完整、可擴展
senior-bigdata-114-2-q20	past	114年第二梯次 第20題	D	L224	高	雲端不解密下運算唯同態加密可達成
senior-bigdata-114-2-q21	past	114年第二梯次 第21題	B	L223	高	Tufte 數據密度：同圖整合多趨勢、提高資訊密度
senior-bigdata-114-2-q22	past	114年第二梯次 第22題	D	L223	高	相關係數矩陣＋熱力圖一覽兩兩關聯強度方向
senior-bigdata-114-2-q23	past	114年第二梯次 第23題	C	L221	高	虛無值 100 萬落在 95% 信賴區間內，無法拒絕 H0
senior-bigdata-114-2-q24	past	114年第二梯次 第24題	A	L222	高	資料湖＋Spark/Ray 分散式前處理串接訓練管線
senior-bigdata-114-2-q25	past	114年第二梯次 第25題	A	L223	中	右偏長尾資料以對數刻度放大高金額族群差異
senior-bigdata-114-2-q26	past	114年第二梯次 第26題	C	L223	高	Confidence=P(B|A)=50%，Lift>1 表正向傾向
senior-bigdata-114-2-q27	past	114年第二梯次 第27題	D	L222	高	近似分位數＝容忍誤差下快速估算以支援即時分析
senior-bigdata-114-2-q28	past	114年第二梯次 第28題	A	L223	高	維度詛咒使距離趨同，ε 門檻失效全判雜訊
senior-bigdata-114-2-q29	past	114年第二梯次 第29題	D	L223	高	量級差大應先標準化再做 PCA 避免特徵偏誤
senior-bigdata-114-2-q30	past	114年第二梯次 第30題	C	L221	高	線性、無離群值衡量強度方向用皮爾森相關係數
senior-bigdata-114-2-q31	past	114年第二梯次 第31題	B	L221	高	常態近似二項需 np 與 n(1−p) 皆>5
senior-bigdata-114-2-q32	past	114年第二梯次 第32題	A	L224	高	訓練前匿名／偽匿名化＋輸出稽核符合個資合規
senior-bigdata-114-2-q33	past	114年第二梯次 第33題	D	L221	高	非常態厚尾風險用分位數迴歸聚焦尾部分位
senior-bigdata-114-2-q34	past	114年第二梯次 第34題	B	L222	高	互動屬性存為連結兩節點的邊屬性
senior-bigdata-114-2-q35	past	114年第二梯次 第35題	B	L222	高	知識圖譜以 RDF 三元組建模利語意查詢與推理
senior-bigdata-114-2-q36	past	114年第二梯次 第36題	B	L221	高	右偏＋異質變異對 Y 做 Box–Cox 轉換
senior-bigdata-114-2-q37	past	114年第二梯次 第37題	C	L223	高	極不平衡且無法增資用 SMOTE 合成少數類
senior-bigdata-114-2-q38	past	114年第二梯次 第38題	B	L221	高	比較兩組良率（比例）用雙比例 Z 檢定
senior-bigdata-114-2-q39	past	114年第二梯次 第39題	D	L223	高	不平衡資料用分層 K-Fold 維持每折類別比例
senior-bigdata-114-2-q40	past	114年第二梯次 第40題	B	L223	中	每次留一筆測試的迴圈為 LOOCV；需依附圖虛擬碼判讀
senior-bigdata-114-2-q41	past	114年第二梯次 第41題	A	L223	中	指派最近中心＋更新群平均的迭代為 K-means；依附圖判讀
senior-bigdata-114-2-q42	past	114年第二梯次 第42題	C	L221	高	卜瓦松成立條件為事件獨立且平均率固定
senior-bigdata-114-2-q43	past	114年第二梯次 第43題	B	L223	高	NaN（原因A）與含小數年份（原因D）致欄位轉 float64
senior-bigdata-114-2-q44	past	114年第二梯次 第44題	D	L223	高	含 NaN 轉整數用可空型別 Int64
senior-bigdata-114-2-q45	past	114年第二梯次 第45題	A	L223	高	groupby Platform 對 Global_Sales 取 sum 畫長條圖
senior-bigdata-114-2-q46	past	114年第二梯次 第46題	C	L223	高	pd.melt 攤平後 barplot estimator=sum 比較各地區總額
senior-bigdata-114-2-q47	past	114年第二梯次 第47題	B	L223	高	nlargest(5) 取前五再以 barplot 呈現
senior-bigdata-114-2-q48	past	114年第二梯次 第48題	D	L221	低	需依附圖 describe 輸出判讀 youtube Q1=89.25；原圖未附
senior-bigdata-114-2-q49	past	114年第二梯次 第49題	C	L223	高	isnull() 與 isna() 為等義別名，對應選項 A、C
senior-bigdata-114-2-q50	past	114年第二梯次 第50題	B	L221	低	需依附圖執行結果判讀；fit(X,y) 順序正確、截距 3.5561 對應 B、F
senior-bigdata-gen-q001	new	B1	A	L221	高	平均數>中位數通常為右偏，少數大值拉高均值
senior-bigdata-gen-q002	new	B1	D	L221	高	α＝顯著水準，控制虛無為真時誤拒（型一錯誤）機率上限
senior-bigdata-gen-q003	new	B1	B	L221	高	固定區間、獨立、率穩定的計數事件用卜瓦松分布
senior-bigdata-gen-q004	new	B1	D	L221	高	先分層再層內隨機抽取以維持母體比例＝分層抽樣
senior-bigdata-gen-q005	new	B1	A	L221	高	r=0.85為強正向線性關係，相關不等於因果
senior-bigdata-gen-q006	new	B1	C	L221	高	經驗法則95%落在±2σ，100±2×15＝70至130
senior-bigdata-gen-q007	new	B1	B	L222	高	RDBMS固定綱要＋SQL；NoSQL彈性模型利水平擴展
senior-bigdata-gen-q008	new	B1	C	L222	高	filter()惰性求值產生新資料集屬Transformation
senior-bigdata-gen-q009	new	B1	A	L222	高	ETL＝擷取、清洗轉換、載入至資料倉儲
senior-bigdata-gen-q010	new	B1	C	L222	高	HDFS區塊分散多節點＋複製多份支援平行與容錯
senior-bigdata-gen-q011	new	B1	B	L222	高	數十億筆離線批次用分散式框架＋分散式儲存平行處理
senior-bigdata-gen-q012	new	B1	D	L222	高	一致性＝交易前後維持符合約束的有效狀態
senior-bigdata-gen-q013	new	B1	A	L223	高	標準化轉為均0標準差1；Min-Max線性縮放到固定區間
senior-bigdata-gen-q014	new	B1	B	L223	高	無序類別Label Encoding引入虛假順序與距離誤導模型
senior-bigdata-gen-q015	new	B1	B	L223	高	穩健縮放用中位數與IQR，對離群值不敏感
senior-bigdata-gen-q016	new	B1	D	L223	高	檢視單一連續變數分布形狀用直方圖
senior-bigdata-gen-q017	new	B1	C	L223	高	SMOTE依少數類近鄰內插合成新樣本屬過採樣
senior-bigdata-gen-q018	new	B1	A	L223	高	PCA對變異數敏感，未標準化時大量級特徵主導主成分
senior-bigdata-gen-q019	new	B1	B	L224	高	充足多樣具代表性資料提升模型泛化能力
senior-bigdata-gen-q020	new	B1	D	L224	高	依行為大數據主動推送商品屬推薦系統
senior-bigdata-gen-q021	new	B1	D	L224	高	訓練前去識別化／假名化＋存取權限控管與稽核
senior-bigdata-gen-q022	new	B1	C	L224	中	聯邦學習資料留本地、只交換參數／梯度協作訓練
senior-bigdata-gen-q023	new	B1	C	L224	高	系統性偏誤或錯誤標註會被模型學到並放大
senior-bigdata-gen-q024	new	B1	A	L224	高	即時事件近即時逐筆／微批次運算屬串流處理
